 par_1      , par_2      , f_value    
 +3.1753e-04, -1.8145e-03, +3.3931e-06
 -6.2141e-02, +3.5509e-02, +5.1224e-03
 +2.3364e-01, +8.4852e-03, +5.4660e-02
 +3.8404e-01, -2.4758e-01, +2.0878e-01
 -5.3858e-01, +4.3039e-01, +4.7531e-01
 -5.4600e-02, +8.1599e-01, +6.6882e-01
 -4.7867e-01, +8.5173e-01, +9.5457e-01
 -1.1302e+00, +1.5638e-01, +1.3019e+00
 -7.7958e-01, -8.5983e-01, +1.3470e+00
 +3.3867e-01, -1.1171e+00, +1.3626e+00
 +4.9346e-01, +1.3717e+00, +2.1251e+00
 -1.3817e+00, -4.9899e-01, +2.1580e+00
 +1.4764e+00, -6.7578e-01, +2.6364e+00
 -4.0480e-01, -1.7897e+00, +3.3670e+00
 +2.0663e+00, +8.2126e-01, +4.9441e+00
 +1.7800e+00, -2.0115e+00, +7.2144e+00
 +1.5608e+00, +2.3489e+00, +7.9535e+00
 +2.9785e+00, -4.0297e-01, +9.0341e+00
 +1.1706e+00, -3.2383e+00, +1.1857e+01
 +3.0353e+00, -1.6961e+00, +1.2089e+01
 +2.5703e+00, -2.5014e+00, +1.2864e+01
 +3.5668e+00, -1.0250e+00, +1.3773e+01
 -4.1220e+00, +2.5712e+00, +2.3602e+01
 -4.5122e+00, -3.0160e+00, +2.9456e+01
 +3.9021e-01, +5.5872e+00, +3.1369e+01
 +5.6829e+00, -2.2236e-01, +3.2344e+01
 -3.3416e+00, -6.2543e+00, +5.0283e+01
 +6.8535e+00, -3.4607e+00, +5.8947e+01
 +5.2927e+00, -5.8096e+00, +6.1764e+01
 +6.0731e+00, +5.3649e+00, +6.5664e+01
 +1.9511e+00, +7.9361e+00, +6.6788e+01
 -8.6343e+00, -4.4473e-01, +7.4748e+01
 +7.8042e-01, -8.8256e+00, +7.8500e+01
 -3.7318e+00, +8.1585e+00, +8.0487e+01
 -8.2440e+00, +5.1425e+00, +9.4410e+01
 -4.9024e+00, -8.6032e+00, +9.8049e+01
 -9.8049e+00, +2.7936e+00, +1.0394e+02
 -9.0245e+00, -6.0319e+00, +1.1783e+02
 +6.4633e+00, -9.0479e+00, +1.2364e+02
 -9.4147e+00, +8.3808e+00, +1.5887e+02
